ID	Education	Gender	Wage
283	12	1	4716.3
284	18	2	6577.7
285	12	1	4582.4
286	15	1	5820.2
287	15	2	5422.8
288	14	1	5712.2
289	16	2	5576.6
290	13	1	5072.7
291	12	1	4792.2
292	13	2	4443.8
293	12	1	4885.8
294	11	2	3785.4
295	14	1	5543
296	19	1	7709.7
297	13	2	4524.8
298	13	1	5247.5
299	12	2	4205.3
300	14	1	5470.2
301	14	1	5647.7
302	12	2	4096.8
303	18	1	7122.1
304	13	2	4799.5
305	21	1	8453.5
306	16	1	6377.5
307	14	2	5006.2
308	16	1	6287.2
309	9	2	2875
310	17	1	6816.9
311	19	1	7687.4
312	10	2	3630
313	18	1	7072.7
314	17	2	6051.6
315	7	1	2686
316	14	1	5714.9
317	12	2	4027.3
318	12	1	4657.5
319	22	2	8232.2
320	14	1	5673.9
321	12	1	4678.9
322	12	2	4239.9
323	16	1	6355.2
324	16	2	5638.9
325	19	1	7553.6
326	13	1	5282.7
327	21	2	7649.6
328	20	1	7993.9
329	14	2	4899.7
330	14	1	5629.6
331	15	1	6025.1
332	18	2	6583.4
333	14	1	5628.6
334	16	2	5791.5
335	15	1	6157.3
336	14	1	5581.5
337	16	2	5849.6
338	19	1	7522.9
339	11	2	3947
340	9	1	3608.6
341	12	1	4938.3
342	13	2	4692.5
343	13	1	4961.3
344	13	2	4855.9
345	12	1	4835.3
346	17	1	6882.4
347	17	2	6152.3
348	12	1	4793.2
349	16	2	5907.2
350	11	1	4448.4
351	16	1	6470.4
352	11	2	3753.2
353	17	1	6950.6
354	14	2	5150.1
355	19	1	7479.8
356	17	1	6807.9
357	14	2	4801.8
358	12	1	4998.8
359	19	2	7120.4
360	16	1	6295.1
361	16	1	6403.6
362	17	2	6267.4
363	12	1	4703.8
364	13	2	4723
365	16	1	6514.2
366	14	1	5565.2
367	17	2	6307.5
368	14	1	5508.8
369	17	2	6054.8
370	12	1	4773
371	10	1	4069.4
372	16	2	5912.5
373	13	1	5186.6
374	19	2	6901.5
375	17	1	6659.1
376	15	1	6088.3
377	10	2	3303.1
378	15	1	5830.6
379	16	2	5818.5
380	14	1	5670.4
381	13	1	5234.2
382	14	2	5071.7
383	15	1	5980
384	14	2	5105.6
385	11	1	4542.4
386	13	1	5102.2
387	17	2	6374
388	11	1	4517.9
389	9	2	3134.6
390	17	1	6630.3
391	15	1	6033.9
392	13	2	4562.6
393	13	1	5119.6
394	17	2	6403.6
395	12	1	4816.1
396	13	1	5272.6
397	8	2	2640.5
398	18	1	7126.4
399	13	2	4679.4
400	17	1	6698.4
401	16	1	6676
402	15	2	5551.6
403	7	1	2721.4
404	18	2	6515.7
405	7	1	2867
406	15	1	5979.8
407	9	2	2833.7
408	5	1	2047.2
409	22	2	8329
410	16	1	6359.5
411	18	1	7198.8
412	11	2	3930.7
413	9	1	3644.1
414	17	2	6030.5
415	15	1	6088.7
416	11	1	4379.7
417	17	2	6119.2
418	14	1	5694.9
419	10	2	3238.4
420	12	1	4848.1
421	12	1	4887.7
422	19	2	7035
423	20	1	8014.5
424	10	2	3420.6
425	18	1	7252.7
426	9	1	3662.4
427	11	2	3763.7
428	14	1	5672.9
429	15	2	5443
430	15	1	5960.8
431	15	1	6028.2
432	13	2	4693.2
433	11	1	4428.8
434	16	2	5776.1
435	15	2	41.8
436	14	1	5408.6
437	16	2	5731.4
438	15	1	5990.4
439	13	2	4845.1
440	6	1	2427.9
441	14	1	5654
442	16	2	5925.9
443	18	1	7122
444	15	2	5532.3
445	11	1	4330.8
446	17	1	6807.7
447	14	2	4866.5
448	9	1	3625.9
449	12	2	4072.6
450	13	1	5179.7
451	14	1	5714.8
452	19	2	6850.3
453	16	1	6410.3
454	15	2	5490.5
455	17	1	6849.2
456	13	1	5147.5
457	11	2	3782.3
458	12	1	4942
459	14	2	4859
460	13	1	5085.6
461	15	1	6081.9
462	17	2	6173.5
463	14	1	5701.6
464	13	2	4574.1
465	18	1	7266.6
466	17	1	6722.9
467	16	2	5894.1
468	20	1	7816.9
469	13	2	4594.2
470	12	1	4794.2
471	15	1	6207.1
472	15	2	5544
473	17	1	6950.8
474	15	2	5625.9
475	17	1	6896.6
476	14	1	5764.4
477	17	2	6151.2
478	12	1	4883.2
479	20	2	7374.4
480	13	1	5121.3
481	12	1	4715.2
482	18	2	6568.8
483	15	1	5893.8
484	11	2	3883.6
485	13	1	5127.3
486	15	1	5987.9
487	15	2	5462.7
488	13	1	5248.5
489	16	2	5878.5
490	15	1	6060.1
491	15	1	6052.6
492	13	2	4607.5
493	12	1	4862.7
494	14	2	5081.1
495	18	1	7014.4
496	15	1	5898.4
497	19	2	6883.9
498	7	1	2903.2
499	12	2	4230.8
500	13	1	5005.1
