ID	Education	Gender	Wage
141	16	male	6458.3
142	14	female	5013.3
143	11	male	4331.5
144	14	female	4983.4
145	13	male	5275.2
146	12	male	4742.7
147	14	female	5065.7
148	18	male	7170.4
149	18	female	6604.7
150	16	male	6511.9
151	20	male	7907.5
152	12	female	4289.8
153	14	male	5433.1
154	19	female	6865.8
155	13	male	5089.7
156	15	male	6039.9
157	13	female	4535.3
158	14	male	5509.9
159	11	female	3927.5
160	16	male	6455.3
161	16	male	6554.6
162	19	female	6968.2
163	15	male	5989.9
164	15	female	5345.6
165	15	male	5942.8
166	16	male	6376.1
167	18	female	6738.9
168	17	male	6852
169	13	female	4738.7
170	19	male	7571.6
171	10	male	4176.8
172	10	female	3274.9
173	10	male	3973.2
174	15	female	5259.8
175	15	male	5978.6
176	10	male	3931.8
177	14	female	4894.6
178	13	male	5246.5
179	17	female	6197.5
180	20	male	7971.2
181	16	male	6443
182	15	female	5510.9
183	15	male	6106
184	12	female	4057.1
185	15	male	6167.7
186	14	male	5736.1
187	12	female	4144.2
188	17	male	6657.3
189	12	female	4144.2
190	12	male	4949.4
191	20	male	7864.3
192	14	female	5152.4
193	12	male	4731.5
194	12	female	4069.2
195	8	male	3060.7
196	20	male	7779.9
197	11	female	3839.2
198	16	male	6335.5
199	15	female	5532.7
200	17	male	6948.8
201	16	male	6281.2
202	12	female	4204.4
203	18	male	7078.1
204	17	female	6219.7
205	17	male	6859
206	17	male	6802.5
207	13	female	4385.5
208	14	male	5698
209	16	female	5757.4
210	16	male	6455.1
211	10	male	4011.5
212	12	female	4136.9
213	14	male	5651.1
214	15	female	5468.7
215	15	male	5972.4
216	13	male	5182.5
217	13	female	4519.2
218	15	male	5825.3
219	16	female	5733
220	12	male	4695.6
221	17	male	6883.6
222	11	female	3875.1
223	15	male	5941.9
224	13	female	4456.9
225	18	male	7131.4
226	10	male	3928
227	18	female	6506.9
228	13	male	5311.4
229	13	female	4597.6
230	15	male	5934.8
231	16	male	6319.1
232	15	female	5415.9
233	15	male	5965.2
235	13	male	5067
236	9	male	3766.4
237	14	female	4824.3
238	14	male	5457.2
239	15	female	5538.5
240	14	male	5524.5
241	8	male	3276.4
242	14	female	4928
243	16	male	6439.1
244	17	female	6141.5
245	10	male	4015.5
246	16	male	6309.8
247	13	female	4699.3
248	15	male	5915.5
249	13	female	4722.7
250	14	male	5623.7
251	14	male	5624.3
252	13	female	4628.7
253	17	male	6867.8
254	19	female	6927.6
255	10	male	3807.1
256	19	male	7347.3
257	20	female	7235.5
258	15	male	5951.5
259	11	female	3840.1
260	17	male	6785.5
261	18	male	7131.5
262	12	female	4260.8
263	19	male	7598.3
264	13	female	4696.9
265	14	male	5562.1
266	18	male	7321.7
267	13	female	4492
268	11	male	4389.6
269	19	female	6980.5
270	11	male	4481
271	15	male	5879.8
272	12	female	4246.9
273	14	male	5643
274	11	female	3895.7
275	15	male	5977.4
276	15	male	6067.4
277	18	female	6488.1
278	13	male	5437.3
279	18	female	6615.7
280	20	male	7958.8
281	16	male	6482.4
282	12	female	4345.7
283	12	male	4716.3
284	18	female	6577.7
285	12	male	4582.4
286	15	male	5820.2
287	15	female	5422.8
288	14	male	5712.2
289	16	female	5576.6
290	13	male	5072.7
291	12	male	4792.2
292	13	female	4443.8
293	12	male	4885.8
294	11	female	3785.4
295	14	male	5543
296	19	male	7709.7
297	13	female	4524.8
298	13	male	5247.5
299	12	female	4205.3
300	14	male	5470.2
301	14	male	5647.7
302	12	female	4096.8
303	18	male	7122.1
304	13	female	4799.5
305	21	male	8453.5
306	16	male	6377.5
307	14	female	5006.2
308	16	male	6287.2
309	9	female	2875
310	17	male	6816.9
311	19	male	7687.4
312	10	female	3630
313	18	male	7072.7
314	17	female	6051.6
315	7	male	2686
316	14	male	5714.9
317	12	female	4027.3
318	12	male	4657.5
319	22	female	8232.2
320	14	male	5673.9
321	12	male	4678.9
322	12	female	4239.9
323	16	male	6355.2
324	16	female	5638.9
325	19	male	7553.6
326	13	male	5282.7
327	21	female	7649.6
328	20	male	7993.9
329	14	female	4899.7
330	14	male	5629.6
331	15	male	6025.1
332	18	female	6583.4
333	14	male	5628.6
334	16	female	5791.5
335	15	male	6157.3
336	14	male	5581.5
337	16	female	5849.6
338	19	male	7522.9
339	11	female	3947
340	9	male	3608.6
341	12	male	4938.3
342	13	female	4692.5
343	13	male	4961.3
344	13	female	4855.9
345	12	male	4835.3
346	17	male	6882.4
347	17	female	6152.3
348	12	male	4793.2
349	16	female	5907.2
350	11	male	4448.4
351	16	male	6470.4
352	11	female	3753.2
353	17	male	6950.6
354	14	female	5150.1
355	19	male	7479.8
356	17	male	6807.9
357	14	female	4801.8
358	12	male	4998.8
359	19	female	7120.4
360	16	male	6295.1
361	16	male	6403.6
362	17	female	6267.4
363	12	male	4703.8
364	13	female	4723
365	16	male	6514.2
366	14	male	5565.2
367	17	female	6307.5
368	14	male	5508.8
369	17	female	6054.8
370	12	male	4773
371	10	male	4069.4
372	16	female	5912.5
373	13	male	5186.6
374	19	female	6901.5
375	17	male	6659.1
376	15	male	6088.3
377	10	female	3303.1
378	15	male	5830.6
379	16	female	5818.5
380	14	male	5670.4
381	13	male	5234.2
382	14	female	5071.7
383	15	male	5980
384	14	female	5105.6
385	11	male	4542.4
386	13	male	5102.2
387	17	female	6374
388	11	male	4517.9
389	9	female	3134.6
390	17	male	6630.3
391	15	male	6033.9
392	13	female	4562.6
393	13	male	5119.6
394	17	female	6403.6
395	12	male	4816.1
396	13	male	5272.6
397	8	female	2640.5
398	18	male	7126.4
399	13	female	4679.4
400	17	male	6698.4
401	16	male	6676
402	15	female	5551.6
403	7	male	2721.4
404	18	female	6515.7
405	7	male	2867
406	15	male	5979.8
407	9	female	2833.7
408	5	male	2047.2
409	22	female	8329
410	16	male	6359.5
411	18	male	7198.8
412	11	female	3930.7
413	9	male	3644.1
414	17	female	6030.5
415	15	male	6088.7
416	11	male	4379.7
417	17	female	6119.2
418	14	male	5694.9
419	10	female	3238.4
420	12	male	4848.1
421	12	male	4887.7
422	19	female	7035
423	20	male	8014.5
424	10	female	3420.6
425	18	male	7252.7
426	9	male	3662.4
427	11	female	3763.7
428	14	male	5672.9
429	15	female	5443
430	15	male	5960.8
431	15	male	6028.2
432	13	female	4693.2
433	11	male	4428.8
434	16	female	5776.1
436	14	male	5408.6
437	16	female	5731.4
438	15	male	5990.4
439	13	female	4845.1
440	6	male	2427.9
441	14	male	5654
442	16	female	5925.9
443	18	male	7122
444	15	female	5532.3
445	11	male	4330.8
446	17	male	6807.7
447	14	female	4866.5
448	9	male	3625.9
449	12	female	4072.6
450	13	male	5179.7
451	14	male	5714.8
452	19	female	6850.3
453	16	male	6410.3
454	15	female	5490.5
455	17	male	6849.2
456	13	male	5147.5
457	11	female	3782.3
458	12	male	4942
459	14	female	4859
460	13	male	5085.6
461	15	male	6081.9
462	17	female	6173.5
463	14	male	5701.6
464	13	female	4574.1
465	18	male	7266.6
466	17	male	6722.9
467	16	female	5894.1
468	20	male	7816.9
469	13	female	4594.2
470	12	male	4794.2
471	15	male	6207.1
472	15	female	5544
473	17	male	6950.8
474	15	female	5625.9
475	17	male	6896.6
476	14	male	5764.4
477	17	female	6151.2
478	12	male	4883.2
479	20	female	7374.4
480	13	male	5121.3
481	12	male	4715.2
482	18	female	6568.8
483	15	male	5893.8
484	11	female	3883.6
485	13	male	5127.3
486	15	male	5987.9
487	15	female	5462.7
488	13	male	5248.5
489	16	female	5878.5
490	15	male	6060.1
491	15	male	6052.6
492	13	female	4607.5
493	12	male	4862.7
494	14	female	5081.1
495	18	male	7014.4
496	15	male	5898.4
497	19	female	6883.9
498	7	male	2903.2
499	12	female	4230.8
500	13	male	5005.1
